대회명,출처,접수시작일,접수마감일,접수기간 원문,대회시작일,대회종료일,일정안내,주최기관,참가대상,혜택,주제,안내사이트,신청링크,상태,공고원문,상세확인일
[한국데이터산업진흥원]2026 데이터+AI 혁신 챌린지 통합경진대회 개최,데이터사이언스학과 · 공지,2026-09-08,2026-10-22,2026년 9월 8일(화) ~ 10월 22일(목),,,,,데이터·AI 활용에 관심있는 대한민국 국민 누구나(개인 또는 5인 이내 팀),,,,,기한 남음/접수 표시,https://datascience.inha.ac.kr/bbs/datascience/746/191151/artclView.do,2026-09-22T14:40:57.069657+09:00
2026 KoMaP AI 경진대회,캠퍼스픽 · AI/데이터,,,,,,,,,,,,,마감 미확인,https://www.campuspick.com/contest/view?id=36134,
2026년 국가손상통계자료 활용 연구 공모전,캠퍼스픽 · AI/데이터,,,,,,,,,,,,,마감 미확인,https://www.campuspick.com/contest/view?id=36101,
AI 활용 옥외광고 간판 디자인 공모전,캠퍼스픽 · AI/데이터,,,,,,,,,,,,,마감 미확인,https://www.campuspick.com/contest/view?id=36114,
[교수학습개발센터] 학사경고 학생 대상 런!런! 챌린지 프로그램 참여 독려,데이터사이언스학과 · 공지,,,,,,,,,,,,,마감 미확인,https://datascience.inha.ac.kr/bbs/datascience/746/189585/artclView.do,
[디오니] AI 숏 시리즈 콘테스트,캠퍼스픽 · AI/데이터,,,,,,,,,,,,,마감 미확인,https://www.campuspick.com/contest/view?id=36130,
「2026 별별화성 Awards」화성특례시 AI CF 공모전,캠퍼스픽 · AI/데이터,,,,,,,,,,,,,마감 미확인,https://www.campuspick.com/contest/view?id=36195,
공지사항,인공지능융합연구센터,,,,,,,,,,,,,마감 미확인,https://aix.inha.ac.kr/news/notice/?vid=109,
공지사항,인공지능융합연구센터,,,'26. 7. 16( 목 ) 오전 10 시 ~ 8. 17(월 ) - 학습 데이터셋 공개 : '26. 7. 16( 목 ) 오 전 10 시,,,'26. 7. 16( 목 ) 오 전 10 시 ~ 8. 20(목 ) 오후 6 시 - 코드 제출 : '26. 8. 21(금 ) 오후 2 시 - 순위발표 : '26. 9. 3(목 ) 오후 5시 (예정),,,"수령을 위하여 팀원 중 1명은 9월에 재학생 신분 필수 ex) 팀원이 4명인 경우 대회 기간(7/16~8/20)동안은 모두 재학생이어야 하며, 1명만 9월 중 재학생이면 됨 3. 접수처 : 데이콘 홈페이지( https://dacon.io/competitions/official/236736/overview/description ) 4. 일 정",,https://dacon.io/competitions/official/236736/overview/,,마감 미확인,https://aix.inha.ac.kr/news/notice/?vid=107,2026-09-22T14:40:57.069657+09:00
공지사항,인공지능융합연구센터,,,,,,,,,,"“ 맛있는 일상 , AI 로 잇다 (IT 다 )"" 목적 : AI 기술을 접목한 푸드테크 아이디어 발굴 대상 : 만 18 세 이상의 개인 또는 팀 ( 대학생 , 취업준비생 , 직장인 모두 참여 가능 ) 진행 방식 : 1 차 서류 선발 후 , 본선 참가팀은 AI 기반의 서비스 아이디어를 프로토타입 형태로 개발하여 제출",,,마감 미확인,https://aix.inha.ac.kr/news/notice/?vid=106,2026-09-22T14:40:57.069657+09:00
